,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.47670463,8.319811,4.3022346,5.602724,7.414635,1.9450166,5.401339,7.3983135,4.3951597,3.1438823,4.5262804,4.0644603,4.778956,4.7206845,4.588675,5.0173535,3.5628543,6.0521693,5.098723,4.8592935,6.1408505,5.379845,3.9741752,5.9784603,5.7773633,4.5918646,5.5717473,5.914423,4.683963,5.65324,3.270954,4.578968,5.854056,4.7794056,3.3995783,7.109958,4.9024043,5.6127796,5.0808144,6.302673,6.5312967,3.5384994,5.200066,4.3956985,4.2051873,5.1179323,3.6766243,4.3765464,5.156433,4.8606763,5.522604,5.727763,4.877655,4.2950497,5.9416413,4.6012087,6.7560587,5.658397,5.4074526,5.692757
1,1.5614792,8.840521,5.141502,5.5273128,7.754261,1.9085464,5.830801,7.0330176,4.484965,3.1949263,4.5190735,4.160605,4.6708527,4.7506967,4.5416102,5.1091766,3.885062,6.0694222,5.128137,4.8362455,6.0821276,5.428992,4.043369,5.9504776,5.6997123,4.5930324,5.656736,5.914152,4.8606186,5.6324644,3.4071178,4.561643,5.8216033,4.790767,3.4633358,7.02747,4.829154,5.6927147,4.908532,6.347495,6.3796163,3.444957,5.3534937,4.418156,4.2871175,4.9849772,3.807288,4.5002327,5.232029,4.9692945,5.5583854,5.6535096,4.92507,4.2252564,5.9982615,4.7461643,6.759176,5.8614407,5.210387,5.539308
2,5.0046964,8.999138,5.541255,4.8552203,0.752139,7.9047227,3.9079063,8.148192,4.4107604,3.9074519,2.173045,3.099684,4.583548,3.6394262,4.382189,3.8361769,3.409419,5.103485,5.0618258,4.914387,6.036962,4.8892365,3.930373,5.5947304,6.008935,4.3313007,5.4347086,6.7140026,4.1413193,5.637415,4.396013,4.8878756,5.3602757,4.476912,2.9228714,7.047589,5.172722,5.2164526,5.9649763,6.6295023,6.3037386,3.4446626,5.6748257,4.9163284,4.4758453,4.823629,4.225861,4.187572,4.9911747,4.295392,5.3775153,5.0570726,5.1732287,5.149609,6.214465,4.631581,6.3910794,4.658898,5.822194,5.708668
3,4.1038995,4.5279226,5.56157,4.531232,5.366511,3.6083207,5.5756416,6.6600327,4.54393,4.118042,4.166032,3.326013,4.354431,4.5055866,4.30136,4.9819865,4.445257,6.455253,5.2686477,4.5533857,5.6260753,5.1501865,4.2037525,5.3668404,5.756282,4.908893,5.699128,6.231972,4.8144584,5.0937505,3.7455595,4.563788,5.46091,4.0808506,3.1165674,7.292127,4.321269,5.7348385,5.2559876,6.283386,5.864012,3.4348786,5.769031,4.2086735,3.9830198,5.025483,3.9295332,4.6202793,4.6996093,4.5726676,5.136268,5.505917,4.4496217,4.982442,5.894746,4.6150165,6.66439,5.8686275,5.089855,5.233219
4,3.634776,3.4716108,4.4028645,4.8355217,5.253356,3.3176908,5.04983,6.9779186,4.4079022,3.90359,4.123128,3.431743,4.636905,4.5390935,4.367313,4.9317117,4.089598,6.330264,5.2312164,4.561996,5.7599335,5.0729256,4.143719,5.538052,5.751085,4.8642387,5.6768456,6.09349,4.704359,5.188501,3.603848,4.6784797,5.490218,4.287626,3.1308398,7.210488,4.4602313,5.6279097,5.252887,6.124815,6.1535306,3.5763125,5.572204,4.2353797,4.062152,5.113891,3.7556777,4.4107733,4.6784444,4.6527076,5.161354,5.573355,4.4233785,4.8785195,5.877396,4.5491896,6.613812,5.678541,5.271815,5.438025
5,3.893276,4.692895,5.415413,4.5145936,5.2298603,3.7529342,5.496291,6.771729,4.5376434,4.121336,4.1584725,3.260156,4.3655343,4.4580207,4.3074536,4.923243,4.3203044,6.4232764,5.251306,4.5695004,5.64434,5.1387563,4.173335,5.359822,5.796812,4.9033685,5.660108,6.2679744,4.741979,5.116852,3.7256508,4.559045,5.469478,4.067785,3.08784,7.327876,4.3601427,5.689227,5.336676,6.304145,5.887196,3.4425204,5.725024,4.2217407,3.9512477,5.0570846,3.910866,4.592548,4.6828737,4.5043783,5.1207433,5.516155,4.461124,5.0117984,5.895198,4.570001,6.665737,5.7813754,5.1633415,5.285143
6,3.6313143,4.908858,6.802014,4.6752973,4.592247,4.4407716,5.417612,6.8813453,4.5288982,4.2576833,3.721154,3.19971,4.289259,4.4147916,4.3676906,4.859865,4.517138,6.451567,5.2111363,4.53301,5.528356,5.1450014,4.1274776,5.3473673,5.75018,4.864741,5.596023,6.3039036,4.834822,5.086668,4.0231237,4.751231,5.349572,3.9541895,3.1759195,7.357378,4.361214,5.665023,5.485013,6.3851733,5.6990924,3.2650924,5.863813,4.2478356,4.0365596,4.90681,4.1292915,4.714111,4.627511,4.370677,5.0471773,5.419974,4.4605737,5.166584,5.846901,4.7457952,6.574828,5.8354692,5.027634,5.1274242
7,2.1265292,11.643109,6.974926,5.5305443,3.9938986,5.7517548,4.8413477,7.942948,4.4779034,3.5408819,2.889343,3.4794517,4.750795,4.030918,4.5566425,4.273554,3.4746308,5.386357,4.9474964,4.866442,6.0391407,5.151151,3.8083835,5.8937063,5.86917,4.3106036,5.3496337,6.3548617,4.4488206,5.853077,4.2096486,5.005733,5.508,4.6538005,3.3196273,7.0680985,5.2683606,5.1940475,5.774755,6.630096,6.3464117,3.2652438,5.419037,4.8133945,4.4924173,4.779457,4.167055,4.375269,5.1250887,4.3329363,5.4111238,5.2981687,5.166406,4.7513223,6.128598,4.840917,6.4689617,5.0103045,5.5711527,5.6539717
8,1.0223274,5.2846375,5.2510624,4.485906,5.6316442,3.0814087,5.564221,6.950848,4.51737,3.8084211,4.77824,3.5224237,4.194412,4.619903,4.401532,5.0474277,4.213838,6.4792237,5.271715,4.817793,5.779565,5.3684673,4.1757016,5.4357843,5.8768845,4.8107724,5.5878463,6.2460837,4.722604,5.1676354,3.3360245,4.2849135,5.7349677,4.0756583,3.1336956,7.409354,4.354211,5.9331565,5.296098,6.463612,5.930347,3.4458199,5.6342235,4.218282,3.8346338,5.12485,3.8669646,4.666217,4.953216,4.595501,5.3503227,5.5968747,4.665855,4.907179,5.8294044,4.4924655,6.8390446,6.0091934,5.198604,5.2872987
9,3.8386996,4.13249,5.638537,4.913308,5.1266193,3.7866762,5.2191043,6.9530478,4.4959807,4.1735744,3.8706565,3.1841457,4.5525365,4.447266,4.3336406,4.8933516,4.2284746,6.4300547,5.1912985,4.4332976,5.591079,5.0317736,4.1030245,5.3955064,5.7399325,4.893931,5.6165466,6.186877,4.7434278,5.135819,3.8509138,4.782816,5.359236,4.1023626,3.1386724,7.2933645,4.4040947,5.5280933,5.417592,6.187519,5.9515963,3.4439452,5.6796856,4.2160416,4.018382,5.0506935,3.8789606,4.5275507,4.527646,4.4261236,5.0040326,5.535855,4.3272705,5.045463,5.8568316,4.617097,6.5574627,5.6434555,5.1837397,5.314002
