,V1,V2,k1$cluster
D19_149,2.11331794860966,1.87217857215697,2
D19_15,1.77911576532941,3.73929866836181,1
D19_150,-0.342331113321194,-0.0178729771789712,2
D19_151,-1.57542498415141,3.00309191606963,1
D19_152,-1.3792017200569,1.86927209078843,1
D19_153,1.73616249703198,1.57020511230142,2
D19_154,-0.766294981764935,0.347305490132462,2
D19_155,1.90193018064839,1.93478264523034,2
D19_156,-0.325020425660542,5.15646808763011,1
D19_157,0.360081570110126,3.80090059461862,1
D19_158,-1.50281121012886,2.04299984029178,1
D19_159,0.300253395014091,4.79162392988163,1
D19_16,0.394572049368685,4.21931716030657,1
D19_160,-1.05036111087943,0.827122456384591,2
D19_161,0.926279249482072,3.53449657987931,1
D19_162,-0.811327141193811,4.29480087298969,1
D19_163,-1.5030145611626,2.57684672184676,1
D19_164,-0.821539804948073,1.16452688143411,2
D19_165,0.210499605192406,0.266362693304919,2
D19_166,0.827761141545891,3.89259253790761,1
D19_167,0.77809977859283,4.60594742124252,1
D19_168,0.547399017520075,1.04654560580817,2
D19_169,-1.14820224404539,4.59931588718404,1
D19_17,-1.55560828395606,-5.7870076256279,3
D19_170,-0.315361746783091,-4.09112505391239,3
D19_171,1.61205291280081,4.67409027377434,1
D19_172,0.758212037587635,1.92290806589713,2
D19_173,-1.29704490349536,0.814285265110138,2
D19_174,-0.159544160623207,4.63045760666067,1
D19_175,-0.921116485763406,1.42260051419037,2
D19_176,-0.602992704414065,5.03566989174622,1
D19_177,-0.447976201573095,-0.089009641359752,2
D19_178,-0.155189975689179,-4.01217227166861,3
D19_179,-1.16269180255237,1.03065382019506,2
D19_18,-1.2927629878411,2.05050977013146,1
D19_180,-0.136854494806867,3.99499756303256,1
D19_181,-0.689235341690493,1.84346239230525,2
D19_182,-0.737751919999893,0.999499296075256,2
D19_183,1.88969828418594,3.83884415399488,1
D19_184,1.42567673908798,4.45251411213325,1
D19_185,1.86792359970459,1.92952884381135,2
D19_186,-0.155004496517449,-3.64321636749225,2
D19_187,-1.40463162936941,2.0183078927782,1
D19_188,-1.1410876260757,4.64487781033272,1
D19_189,-1.7153601700182,3.41262142626127,1
D19_19,1.86298011337717,4.22253020366528,1
D19_190,-0.0274611795491826,0.882378906492691,2
D19_191,-0.738195863539055,5.05422433402381,1
D19_192,-1.5538588671393,3.91502302117562,1
D19_193,1.47384842047498,3.8462281036345,1
D19_194,0.767640758251536,4.42071287680213,1
D19_195,0.0203426629627673,-0.0546867001185879,2
D19_196,-0.168147666248717,-4.31553050726626,3
D19_197,0.441867394264046,2.38935822614819,2
D19_198,1.18816907945879,4.79312691476226,1
D19_199,-0.184532126884875,-4.3890996848172,3
D19_2,2.05617220786253,1.86316305602528,2
D19_20,-1.41982823372448,4.03354613264236,1
D19_200,-1.47276538118538,3.34253733038348,1
D19_201,1.67015526270108,1.85945525579518,2
D19_202,-1.64371517791342,3.54651541679955,1
D19_203,-0.119078827353598,-3.53974660588934,3
D19_204,-0.423908245287458,4.87825263273794,1
D19_205,1.15577215057388,3.63535561183264,1
D19_206,-1.01061123704922,1.07318242367868,2
